"Alder, vurdert",Dødsdato,Observasjons/Jaktdato,Tid_Mellom_Observasjon_Død,Funnsted_kort,RovbaseID,DNAID,Art,Bakgrunn/årsak,Kjønn,Helvekt,Funnsted,Fylke,Nord (UTM33/SWEREF99 TM),Øst (UTM33/SWEREF99 TM),Alder på dødt individ,Slaktevekt,Kommune,"Alder, vurdert",Dødsdato,Observasjons/Jaktdato
3.0,1993-09-20,1993-09-20,0,,M040110,D045547,Björn,Skyddsjakt,Hane,"116,00",,Norrbottens län (S),7466622,670103,Vuxen,,Jokkmokk (S),3,1993-09-20,1993-09-20
0.0,1993-09-24,1993-09-24,0,,M040111,D045548,Björn,Skyddsjakt,Hona,"39,00",,Norrbottens län (S),7349788,797598,Unge,,Boden (S),0,1993-09-24,1993-09-24
12.0,1993-09-25,1993-09-25,0,,M040112,D045549,Björn,Skyddsjakt,Hona,"218,00",,Norrbottens län (S),7327358,802887,Vuxen,,Boden (S),12,1993-09-25,1993-09-25
2.0,1993-05-15,1993-05-15,0,Jokkmokk,M040113,D045550,Björn,Kollision - järnväg,Hane,,Jokkmokk,Norrbottens län (S),7392802,719301,Osäker,,Jokkmokk (S),2,1993-05-15,1993-05-15
1.0,1994-09-09,1994-09-09,0,,M040135,D045572,Björn,Skyddsjakt,Hane,"82,00",,Norrbottens län (S),7542986,737397,Osäker,,Kiruna (S),1,1994-09-09,1994-09-09
7.0,1994-09-09,1994-09-09,0,,M040136,D045573,Björn,Skyddsjakt,Hona,"109,00",,Norrbottens län (S),7528719,831774,Vuxen,,Pajala (S),7,1994-09-09,1994-09-09
1.0,1994-09-10,1994-09-10,0,,M040137,D045574,Björn,Skyddsjakt,Hona,"54,00",,Norrbottens län (S),7528719,831774,Osäker,,Pajala (S),1,1994-09-10,1994-09-10
3.0,1994-09-05,1994-09-05,0,,M040138,D045575,Björn,Skyddsjakt,Hona,"163,00",,Norrbottens län (S),7248309,720610,Vuxen,,Arvidsjaur (S),3,1994-09-05,1994-09-05
2.0,1994-09-05,1994-09-05,0,,M040139,D045576,Björn,Skyddsjakt,Hane,"93,00",,Norrbottens län (S),7401656,687242,Vuxen,,Jokkmokk (S),2,1994-09-05,1994-09-05
5.0,1994-09-06,1994-09-06,0,,M040140,D045577,Björn,Skyddsjakt,Hane,"77,00",,Norrbottens län (S),7351350,810177,Vuxen,,Boden (S),5,1994-09-06,1994-09-06
18.0,1994-09-07,1994-09-07,0,,M040142,D045579,Björn,Nödvärn,Hona,,,Norrbottens län (S),7345215,791957,Vuxen,,Boden (S),18,1994-09-07,1994-09-07
4.0,1994-09-07,1994-09-07,0,,M040143,D045580,Björn,Skyddsjakt,Hane,"148,00",,Norrbottens län (S),7284470,733545,Vuxen,,Arvidsjaur (S),4,1994-09-07,1994-09-07
4.0,1994-10-12,1994-10-12,0,,M040144,D045581,Björn,Nödvärn,Hona,"125,00",,Norrbottens län (S),7443846,733288,Vuxen,,Gällivare (S),4,1994-10-12,1994-10-12
5.0,1995-09-06,1995-09-06,0,,M040169,D045606,Björn,Skyddsjakt,Hona,"124,00",,Norrbottens län (S),7437143,786969,Vuxen,,Gällivare (S),5,1995-09-06,1995-09-06
2.0,1995-09-08,1995-09-08,0,,M040170,D045607,Björn,Skyddsjakt,Hane,"155,00",,Norrbottens län (S),7484959,773149,Vuxen,,Gällivare (S),2,1995-09-08,1995-09-08
2.0,1995-09-08,1995-09-08,0,,M040171,D045608,Björn,Skyddsjakt,Hona,"95,00",,Norrbottens län (S),7556203,792418,Vuxen,,Kiruna (S),2,1995-09-08,1995-09-08
2.0,1995-09-04,1995-09-04,0,,M040172,D045609,Björn,Skyddsjakt,Hona,"86,00",,Norrbottens län (S),7415096,736860,Vuxen,,Jokkmokk (S),2,1995-09-04,1995-09-04
1.0,1995-09-07,1995-09-07,0,,M040173,D045610,Björn,Skyddsjakt,Hane,"79,00",,Norrbottens län (S),7331758,756334,Osäker,,Boden (S),1,1995-09-07,1995-09-07
2.0,1995-09-08,1995-09-08,0,,M040174,D045611,Björn,Skyddsjakt,Hane,"116,00",,Norrbottens län (S),7334757,639814,Vuxen,,Arjeplog (S),2,1995-09-08,1995-09-08
20.0,1995-09-14,1995-09-14,0,,M040175,D045612,Björn,Skyddsjakt,Hona,"102,00",,Norrbottens län (S),7414571,742667,Vuxen,,Jokkmokk (S),20,1995-09-14,1995-09-14
7.0,1995-09-16,1995-09-16,0,,M040176,D045613,Björn,Skyddsjakt,Hane,"234,00",,Norrbottens län (S),7333971,578739,Vuxen,,Arjeplog (S),7,1995-09-16,1995-09-16
7.0,1995-09-16,1995-09-16,0,,M040176,D045613,Björn,Skyddsjakt,Hane,"234,00",,Norrbottens län (S),7333971,578739,Vuxen,,Arjeplog (S),7,1995-09-16,1995-09-16
1.0,1995-09-20,1995-09-20,0,,M040178,D045615,Björn,Skyddsjakt,Hane,"67,00",,Norrbottens län (S),7328186,735183,Osäker,,Jokkmokk (S),1,1995-09-20,1995-09-20
,1995-04-01,1995-04-01,0,,M040179,D045616,Björn,Okänd,Hane,"1,30",,Dalarnas län (S),6789116,457053,Unge,,Mora (S),,1995-04-01,1995-04-01
11.0,1995-08-22,1995-08-22,0,,M040180,D045617,Björn,Skyddsjakt,Hane,"222,00",,Jämtlands län (S),6896820,428729,Vuxen,,Härjedalen (S),11,1995-08-22,1995-08-22
0.0,1995-09-01,1995-09-01,0,,M040181,D045618,Björn,Avlivad av djurskyddsskäl,Hona,"5,60",,Jämtlands län (S),6888839,438024,Unge,,Härjedalen (S),0,1995-09-01,1995-09-01
4.0,1995-09-02,1995-09-02,0,,M040182,D045619,Björn,Skyddsjakt,Hona,"90,00",,Jämtlands län (S),6873752,470699,Vuxen,,Härjedalen (S),4,1995-09-02,1995-09-02
,1995-09-11,1995-09-11,0,,M040183,D045620,Björn,Okänd,Hona,,,Norrbottens län (S),7414571,742667,Osäker,,Jokkmokk (S),,1995-09-11,1995-09-11
3.0,1995-09-11,1995-09-11,0,,M040184,D045621,Björn,Skyddsjakt,Hane,"130,00",,Jämtlands län (S),6858635,452794,Vuxen,,Härjedalen (S),3,1995-09-11,1995-09-11
8.0,1995-09-14,1995-09-14,0,,M040185,D045622,Björn,Illegalt dödad,Hona,"119,00",,Jämtlands län (S),6887503,475226,Vuxen,,Härjedalen (S),8,1995-09-14,1995-09-14
1.0,1995-08-22,1995-08-22,0,,M040186,D045623,Björn,Skyddsjakt,Hona,"49,00",,Gävleborgs län (S),6820002,545840,Vuxen,,Ovanåker (S),1,1995-08-22,1995-08-22
2.0,1995-08-27,1995-08-27,0,,M040187,D045624,Björn,Skyddsjakt,Hona,"73,00",,Dalarnas län (S),6763629,506049,Vuxen,,Rättvik (S),2,1995-08-27,1995-08-27
8.0,1995-09-17,1995-09-17,0,,M040188,D045625,Björn,Nödvärn,Hona,"146,00",,Gävleborgs län (S),6833881,536371,Vuxen,,Ljusdal (S),8,1995-09-17,1995-09-17
7.0,1995-10-23,1995-10-23,0,,M040189,D045626,Björn,Kollision - järnväg,Hona,"112,00",,Dalarnas län (S),6783149,500110,Vuxen,,Orsa (S),7,1995-10-23,1995-10-23
11.0,1996-09-03,1996-09-03,0,,M040201,D045638,Björn,Skyddsjakt,Hona,"110,00",,Norrbottens län (S),7533209,792719,Vuxen,,Kiruna (S),11,1996-09-03,1996-09-03
7.0,1996-09-11,1996-09-11,0,,M040202,D045639,Björn,Skyddsjakt,Hona,"161,00",,Norrbottens län (S),7418909,722413,Vuxen,,Jokkmokk (S),7,1996-09-11,1996-09-11
1.0,1996-09-05,1996-09-05,0,,M040203,D045640,Björn,Skyddsjakt,Hona,"49,00",,Jämtlands län (S),6929916,405526,Osäker,,Härjedalen (S),1,1996-09-05,1996-09-05
4.0,1996-08-21,1996-08-21,0,,M040205,D045642,Björn,Skyddsjakt,Hona,"114,00",,Dalarnas län (S),6756432,554822,Vuxen,,Falun (S),4,1996-08-21,1996-08-21
3.0,1996-08-23,1996-08-23,0,,M040206,D045643,Björn,Skyddsjakt,Hane,"190,00",,Dalarnas län (S),6725839,481322,Vuxen,,Leksand (S),3,1996-08-23,1996-08-23
2.0,1996-08-27,1996-08-27,0,,M040207,D045644,Björn,Skyddsjakt,Hane,"85,00",,Gävleborgs län (S),6811985,528045,Vuxen,,Ovanåker (S),2,1996-08-27,1996-08-27
1.0,1996-08-27,1996-08-27,0,,M040208,D045645,Björn,Skyddsjakt,Hona,"42,00",,Dalarnas län (S),6789056,468449,Osäker,,Mora (S),1,1996-08-27,1996-08-27
5.0,1996-08-30,1996-08-30,0,,M040209,D045646,Björn,Skyddsjakt,Hane,"210,00",,Dalarnas län (S),6785372,461497,Vuxen,,Mora (S),5,1996-08-30,1996-08-30
4.0,1996-09-01,1996-09-01,0,,M040210,D045647,Björn,Skyddsjakt,Hona,"105,00",,Dalarnas län (S),6814361,445346,Vuxen,,Älvdalen (S),4,1996-09-01,1996-09-01
7.0,1996-09-01,1996-09-01,0,,M040211,D045648,Björn,Skyddsjakt,Hona,"101,00",,Dalarnas län (S),6795694,455472,Vuxen,,Älvdalen (S),7,1996-09-01,1996-09-01
3.0,1996-06-15,1996-06-15,0,,M040212,D045649,Björn,Avlivad på Polismyndighetens initiativ,Hane,"78,00",,Dalarnas län (S),6767235,474116,Vuxen,,Mora (S),3,1996-06-15,1996-06-15
