"Alder, vurdert",Dødsdato,Observasjons/Jaktdato,Tid_Mellom_Observasjon_Død,Funnsted_kort,RovbaseID,DNAID,Art,Bakgrunn/årsak,Kjønn,Helvekt,Funnsted,Fylke,Nord (UTM33/SWEREF99 TM),Øst (UTM33/SWEREF99 TM),Alder på dødt individ,Slaktevekt,Kommune,"Alder, vurdert",Dødsdato,Observasjons/Jaktdato
15.0,2000-08-22,2000-08-22,0,Verkanliden,M000244,D436708,Björn,Skyddsjakt,Hane,"195,00","Verkanliden, Stensele",Västerbottens län (S),7211338,581832,Vuxen,,Storuman (S),15,2000-08-22,2000-08-22
,2000-08-22,2000-08-22,0,Finnåsvägen,M000246,D045354,Björn,Skyddsjakt,Hane,,"Finnåsvägen, Åmot bruk",Gävleborgs län (S),6760614,573785,Osäker,,Ockelbo (S),,2000-08-22,2000-08-22
3.0,2000-08-22,2000-08-22,0,Sorgbränna,M000247,D436710,Björn,Skyddsjakt,Hona,"108,00",Sorgbränna,Jämtlands län (S),7127971,495497,Vuxen,95,Strömsund (S),3,2000-08-22,2000-08-22
3.0,2000-08-23,2000-08-23,0,Juktfors 1:1,M000248,D436746,Björn,Skyddsjakt,Hane,"125,00",Juktfors 1:1,Västerbottens län (S),7241953,614511,Vuxen,,Sorsele (S),3,2000-08-23,2000-08-23
,2000-08-26,2000-08-26,0,Yttertängers jaktvårdsområde Enviken,M000250,D044827,Björn,Skyddsjakt,Hona,,Yttertängers jaktvårdsområde Enviken,Dalarnas län (S),6746206,544351,Osäker,,Falun (S),,2000-08-26,2000-08-26
,2000-08-26,2000-08-26,0,Lenåsen 3:36,M000251,D044826,Björn,Skyddsjakt,Hona,,Lenåsen 3:36,Dalarnas län (S),6763836,514743,Osäker,,Rättvik (S),,2000-08-26,2000-08-26
1.0,2000-08-26,2000-08-26,0,Lofsdalen 25:1,M000253,D436748,Björn,Skyddsjakt,Hona,"54,00",Lofsdalen 25:1,Jämtlands län (S),6893702,427168,Osäker,,Härjedalen (S),1,2000-08-26,2000-08-26
16.0,2000-08-26,2000-08-26,0,Ransjöbodarna,M000254,D436749,Björn,Skyddsjakt,Hane,"201,00",Ransjöbodarna,Jämtlands län (S),6893845,438662,Vuxen,,Härjedalen (S),16,2000-08-26,2000-08-26
,2000-08-30,2000-08-30,0,Appojaurbäcken,M000257,D044817,Björn,Skyddsjakt,Hane,,Appojaurbäcken,Norrbottens län (S),7461551,689008,Osäker,,Gällivare (S),,2000-08-30,2000-08-30
1.0,2000-09-01,2000-09-01,0,Forsbergsberget,M000260,D436752,Björn,Skyddsjakt,Hane,"75,00","Forsbergsberget, Stalon, Allmänningsskogen 1:1",Västerbottens län (S),7196054,543116,Osäker,,Vilhelmina (S),1,2000-09-01,2000-09-01
